40 99
1 6 77
1 7 -76
1 17 -27
1 27 27
1 28 -67
2 2 -21
2 5 -94
2 11 -31
2 28 79
2 36 102
3 7 -80
3 10 -26
3 12 -43
3 16 -40
3 25 -20
4 14 -57
4 18 83
4 26 -58
4 29 -107
4 30 16
5 10 93
5 23 73
5 24 19
5 30 -101
6 9 -91
6 20 86
7 9 70
7 11 73
7 31 -57
8 15 56
8 16 -81
8 18 -82
8 29 102
8 38 -26
9 14 -60
9 17 -17
9 25 -64
10 11 70
10 22 33
10 39 106
11 15 -60
11 18 -41
12 19 61
12 37 79
12 39 -61
12 40 82
13 15 -34
13 20 -44
13 26 -61
13 38 99
13 39 64
14 18 92
14 24 -43
14 31 -29
15 21 50
15 35 31
16 17 81
16 24 -77
16 33 108
17 21 -32
17 34 -86
18 25 -93
19 19 10
19 28 40
19 30 -72
19 40 23
20 34 -88
20 36 -29
21 32 107
22 23 16
22 25 -31
22 27 70
22 34 -48
23 27 66
23 28 -36
23 30 -75
24 34 -45
24 35 53
25 29 59
26 26 18
26 32 82
26 35 49
27 32 -23
28 29 109
29 37 34
30 39 -103
31 31 21
31 33 -49
31 36 52
32 37 67
32 39 70
33 35 45
33 36 50
33 38 77
34 35 107
36 40 33
37 38 -72
37 40 -108
38 38 -14
